SKUCode,product,packSize,lengthCms,widthCms,heightCms,CDM,chargedWeight,consignorId
DBCK40,COCO KUKKIES 40/-,300X24,37.5,26,28,27.3,7.08
DKKFP140,KAJU KUKKIES (Family Pack),400X16,36.5,35,18.5,23.63,6.13
DBN57g,NICE 10/-,56.7X10X16,43.5,31,25.5,34.39,8.92
DBN35,NICE 150g,150X72,39,33,25,32.18,8.34
DBNC70,NICE COMB0 450g,450X20,34.5,26,30.5,27.36,7.09
DNVP580g,NICE 580g (Value Pack),580X14,43.5,35,19,28.93,7.5
DBN145G,NICE 145g,145X72,39,33,25,32.18,8.34
DBNC435G,NICE COMB0 450g,435X20,34.5,26,30.5,27.36,7.09
DBDI50G,DIGESTIVE 10/-,50X10X20,46,37.5,24.5,42.26,10.96
DBDI30,DIGESTIVE 30/-,100X60,35.5,31.5,24.5,27.4,7.1
DBDIC60,DIGESTIVE COMBO (2+1),300X20,37,24,30,26.64,6.91
DBDSP800g,DIGESTIVE(Super Value Pack),800X10,45,22.5,30,30.38,7.88
DBDICP30,DIGESTIVE COMBI (Pack of 10),100X10X5,30.5,24,30,21.96,5.69
DWC145,ATC WAFFY COMBO 360g,360X12,36.5,35.5,24.5,31.75,8.23
85148 S,NIBBLES (Assorted) 200g,200X30,49,33.5,30.5,50.07,12.98
85175 D,MARIE BREAK 100g,100X100,54.5,31.5,31,53.22,13.8
DCHTD12g,TRUFFEL 5/- (CARAMEL),12X40X9,45,28.5,19,24.37,6.32
DCHTMK12g,TRUFFEL 5/- (MILK),12X40X9,45,28.5,19,24.37,6.32
DCHTHN12g,TRUFFEL 5/- (HAZELNUT),12X40X9,45,28.5,19,24.37,6.32
DCHTCA135g,TRUFFEL 135g (CARAMEL),15X9X20,34.5,34.5,14,16.66,4.32
DCHTHZ135g,TRUFFEL 135g (HAZELNUT),15X9X20,34.5,34.5,14,16.66,4.32
DCHTBC135g,TRUFFEL 135g (BUTER SCOTCH),15X9X20,34.5,34.5,14,16.66,4.32
DCHTVA135g,TRUFFEL 135g (VANILLA),15X9X20,34.5,34.5,14,16.66,4.32
DCHTCF135g,TRUFFEL 135g (COFFEE),15X9X20,34.5,34.5,14,16.66,4.32
DWJOR13g,WAFFY 5/- Jar (ORG),13X40X8,54,36,26.5,51.52,13.36
DWJST13g,WAFFY 5/- Jar (STB),13X40X8,54,36,26.5,51.52,13.36
DWJCH13g,WAFFY 5/- Jar (CHOC.),13X40X8,54,36,26.5,51.52,13.36
85095 K,WAFFY 5/- (Tray Pack),15X10X24,43,40,15,25.8,6.69
85105 T,WAFFY 3/- (Bndl.),8X10X84,52,32,24,39.94,10.35
20004 H,HOUSE SAFE CLEANER,1000X12,40,31,20.5,25.42,6.59
DDBC250g,DANISH BUTTER COOKIES 250g,250X12,39,39,18,27.38,7.1
DDBC400g,DANISH BUTTER COOKIES 400g,400X12,39,39,20.5,31.18,8.08
DCEG400G,COOKIE EMPIRE (GOURMET),400X12,39,39,19.5,29.66,7.69
DCEP400G,COOKIE EMPIRE (PREMIUM),400X12,39,39,19.5,29.66,7.69
DCHS14G,CHOCO SECRETS 5/-,14X40X12,51,45.5,18,41.77,10.83
DCHS120,CHOCO SECRETS 200g,200X24,39,26,27,27.38,7.1
DCP75,COOKIE PIE 120g,120X48,44,40,24,42.24,10.95
DBBBJ20g,BOURBON 5/-,20X40X12,43.5,33,32,45.94,11.91
DBB50g,BOURBON 10/-,50X120,31.5,28.5,19,17.06,4.42
DBBCF75g,COFFEE BOURBON 15/-,75X80,42,28.5,13,15.56,4.03
DDBB135g,BOURBON 135g,135X60,34.5,21.8,30.6,23.01,5.97
DBBCP12N,BOURBON COMBO 540g,540X12,35.5,20,22.5,15.98,4.14
DBB675g,BOURBON COMBO 675g,675X12,42,20.5,24.5,21.09,5.47
