AWBCode,consignorId,consigneeId,fromBranchId,toBranchId,numOfArticles,invoiceValue,invoiceNumber,AWBWeight,ratePerKg
SA-HY-A0649,1,1,1,7,10,"40380",2184,85,6.19
KARA13340,2,2,2,8,38,157852,2404780,836,11.83
FLX-A00592,3,3,3,9,2,6206,2516000002,50,4
KARA13349,4,4,2,10,5,23256,2404234,105,8.62
SL-HY-A0004,5,5,4,11,4,"82000",1124214,115,7.75
YL-GL-A0047,6,6,5,12,49,249263,5133000012,3270,6.57
MYK-VZ-A0464,7,7,6,9,55,224089,9100512297,1200,4.02
