Article ID,Article #,QR Code,Shipping Label,AWB ID
SM-BL-A0919-103,103,,,SM-BL-A0919
MYK-VZ-A0339-126,126,,,MYK-VZ-A0339
KarA12024-5,5,,,KarA12024
KarA12021-98,98,,,KarA12021
RF-HY-A1358-58,58,,,RF-HY-A1358
TTK-UC-06192-1,1,,,TTK-UC-06192
TTK-LC-09662-16,16,,,TTK-LC-09662
TTK-AP-17012-4,4,,,TTK-AP-17012
TTK-AP-17197-2,2,,,TTK-AP-17197
FA-AP-A0587-127,127,,,FA-AP-A0587
FA-HY-A3042-24,24,,,FA-HY-A3042
MYK-HY-A0705-7,7,,,MYK-HY-A0705
